ConfigID,name,index,minTemperature,maxTemperature,hFOVPixels,vFOVPixels,hFOVDeg,vFOVDeg,senSim_percentBlur,senSim_percentNoise,trackFilePath
1172,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,1.0,E:\track.trk
1173,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,1.0,E:\track.trk
1174,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,1.0,E:\track.trk
1175,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,1.0,E:\track.trk
1176,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,1.0,E:\track.trk
1177,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,1.0,E:\track.trk
1178,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,1.0,E:\track.trk
1179,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,1.0,E:\track.trk
1180,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,1.0,E:\track.trk
1181,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,1.0,E:\track.trk
1182,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,1.0,E:\track.trk
1183,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,1.0,E:\track.trk
1184,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,1.0,E:\track.trk
1185,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,1.0,E:\track.trk
1186,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,1.0,E:\track.trk
1187,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,1.0,E:\track.trk
1188,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,1.0,E:\track.trk
1189,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.0,E:\track.trk
1190,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.0,E:\track.trk
1191,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.0,E:\track.trk
1192,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.0,E:\track.trk
1193,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.0,E:\track.trk
1194,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.0,E:\track.trk
1195,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.0,E:\track.trk
1196,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.0,E:\track.trk
